title,detail_url,act_details_url,enactment_date,document_type,pdf_url,raw_source,act_id,full_text_source,is_amendment,original_detail_url,original_title,original_raw_source,original_act_details_url,original_act_id,original_full_text_source,original_enactment_date
"বিদ্যুৎ ও জ্বালানীর দ্রুত সরবরাহ বৃদ্ধি (বিশেষ বিধান) (রহিতকরণ) অধ্যাদেশ, ২০২৪",http://bdlaws.minlaw.gov.bd/act-1511.html,http://bdlaws.minlaw.gov.bd/act-details-1511.html,2024-11-28,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2024-12-01-11-27-35-Ordinance-No.-15-of-2024.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1511-html.html,act-1511,data\full_text\act-details-1511.txt,False,,,,,,,
"মূল্য সংযোজন কর ও সম্পূরক শুল্ক (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1514.html,http://bdlaws.minlaw.gov.bd/act-details-1514.html,2025-09-01,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-01-13-11-09-58-Ordinance-No.-1-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1514-html.html,act-1514,data\full_text\act-details-1514.txt,True,http://bdlaws.minlaw.gov.bd/act-1106.html,"মূল্য সংযোজন কর ও সম্পূরক শুল্ক আইন, ২০১২",data\raw\http-bdlaws-minlaw-gov-bd-act-1106-html.html,http://bdlaws.minlaw.gov.bd/act-details-1106.html,act-1106,data\full_text\act-details-1106.txt,2012-10-12
"The Excises and Salt (Amendment) Ordinance, 2025",http://bdlaws.minlaw.gov.bd/act-1515.html,http://bdlaws.minlaw.gov.bd/act-details-1515.html,2025-09-01,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-01-13-11-25-19-Ordinance-No.-2-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1515-html.html,act-1515,data\full_text\act-details-1515.txt,True,http://bdlaws.minlaw.gov.bd/act-206.html,"The Excises and Salt Act, 1944",data\raw\http-bdlaws-minlaw-gov-bd-act-206-html.html,http://bdlaws.minlaw.gov.bd/act-details-206.html,act-206,data\full_text\act-details-206.txt,1944-02-24
"সুপ্রীম কোর্টের বিচারক নিয়োগ অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1516.html,http://bdlaws.minlaw.gov.bd/act-details-1516.html,2025-01-21,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-01-22-10-35-50-ফরম.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1516-html.html,act-1516,data\full_text\act-details-1516.txt,False,,,,,,,
"International Crimes (Tribunals) (Amendment) Ordinance, 2025",http://bdlaws.minlaw.gov.bd/act-1517.html,http://bdlaws.minlaw.gov.bd/act-details-1517.html,2025-10-02,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-02-16-14-02-22-Ordinance-No.-4-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1517-html.html,act-1517,data\full_text\act-details-1517.txt,True,http://bdlaws.minlaw.gov.bd/act-435.html,"The International Crimes (Tribunals) Act, 1973",data\raw\http-bdlaws-minlaw-gov-bd-act-435-html.html,http://bdlaws.minlaw.gov.bd/act-details-435.html,act-435,data\full_text\act-details-435.txt,1973-07-20
"বিশ্ববিদ্যালয় সংক্রান্ত কতিপয় আইন (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1518.html,http://bdlaws.minlaw.gov.bd/act-details-1518.html,2025-12-02,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-02-16-14-11-05-Ordinance-No.-5-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1518-html.html,act-1518,data\full_text\act-details-1518.txt,True,,,,,,,
"শেখ রাসেল পল্লী উন্নয়ন একাডেমি, রংপুর (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1519.html,http://bdlaws.minlaw.gov.bd/act-details-1519.html,2025-02-24,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-02-25-14-40-13-Ordinance-No.-6-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1519-html.html,act-1519,data\full_text\act-details-1519.txt,True,http://bdlaws.minlaw.gov.bd/act-1440.html,"পল্লী উন্নয়ন একাডেমি, রংপুর আইন, ২০২৩",data\raw\http-bdlaws-minlaw-gov-bd-act-1440-html.html,http://bdlaws.minlaw.gov.bd/act-details-1440.html,act-1440,data\full_text\act-details-1440.txt,2023-11-07
"শেখ হাসিনা পল্লী উন্নয়ন একাডেমি, জামালপুর (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1520.html,http://bdlaws.minlaw.gov.bd/act-details-1520.html,2025-02-24,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-02-25-14-56-56-Ordinance-No.-7-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1520-html.html,act-1520,data\full_text\act-details-1520.txt,True,http://bdlaws.minlaw.gov.bd/act-1445.html,"পল্লী উন্নয়ন একাডেমি, জামালপুর আইন, ২০২৩",data\raw\http-bdlaws-minlaw-gov-bd-act-1445-html.html,http://bdlaws.minlaw.gov.bd/act-details-1445.html,act-1445,data\full_text\act-details-1445.txt,2023-09-18
"বঙ্গবন্ধু দারিদ্র্য বিমোচন ও পল্লী উন্নয়ন একাডেমি (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1521.html,http://bdlaws.minlaw.gov.bd/act-details-1521.html,2025-02-24,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-02-25-15-13-46-Ordinance-No.-8-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1521-html.html,act-1521,data\full_text\act-details-1521.txt,True,,,,,,,
"বঙ্গবন্ধু বিজ্ঞান ও প্রযুক্তি ফেলোশিপ ট্রাস্ট (সংশোধন) অধ্যাদেশ, ২০২৫",http://bdlaws.minlaw.gov.bd/act-1522.html,http://bdlaws.minlaw.gov.bd/act-details-1522.html,2025-03-20,Ordinance,http://bdlaws.minlaw.gov.bd/upload/act/2025-03-23-11-03-10-Odinance-No.-9-of-2025.pdf,data\raw\http-bdlaws-minlaw-gov-bd-act-1522-html.html,act-1522,data\full_text\act-details-1522.txt,True,http://bdlaws.minlaw.gov.bd/act-1176.html,"বিজ্ঞান ও প্রযুক্তি ফেলোশিপ ট্রাস্ট আইন, ২০১৬",data\raw\http-bdlaws-minlaw-gov-bd-act-1176-html.html,http://bdlaws.minlaw.gov.bd/act-details-1176.html,act-1176,data\full_text\act-details-1176.txt,
